net,length_um
_0563_,13.66µm
_0859_,13.66µm
net323,13.66µm
_1759_,13.64µm
net180,13.64µm
net289,13.615µm
_0842_,13.58µm
_0928_,13.58µm
_0020_,13.525µm
_0672_,13.46µm
_1303_,13.46µm
_1227_,13.44µm
_1294_,13.4µm
net294,13.4µm
_0583_,13.38µm
_1895_,13.38µm
_0769_,13.35µm
_1229_,13.34µm
_0580_,13.26µm
net304,13.245µm
_1059_,13.24µm
_1881_,13.22µm
_0892_,13.2µm
_1096_,13.2µm
_0797_,13.14µm
expmiddled\[3\],13.14µm
net347,13.12µm
_0883_,13.1µm
_1777_,13.1µm
_0443_,13.04µm
net30,13.04µm
mantisa[15],13.01µm
_1603_,13µm
mantisaBshift\[16\],13µm
